source_state,S. No.,District Code,District Version,District Name,District Name_1,Census 2001 Code,Census 2011 Code
Ladakh,2.0,9,2,Leh Ladakh,LEH LADAKH,07,003
Ladakh,,,,,,,
Ladakh,"Sep 5, 2026, 6:41 PM",,,,,,
Lakshwadeep,,,,(In English),(In Local),,
Lakshwadeep,1.0,553,1,Lakshadweep District,LAKSHADWEEP DISTRICT,01,587
Lakshwadeep,,,,,,,
Lakshwadeep,"Sep 5, 2026, 6:42 PM",,,,,,
Madhya Pradesh,,,,(In English),(In Local),,
Madhya Pradesh,1.0,667,2,Agar-Malwa,आगर-मालवा,,000
Madhya Pradesh,2.0,639,1,Alirajpur,अलीराजपुर,24,465
Madhya Pradesh,3.0,390,1,Anuppur,अनूपपुर,16,461
Madhya Pradesh,4.0,391,1,Ashoknagar,अशोकनगर,46,459
Madhya Pradesh,5.0,392,1,Balaghat,बालाघाट,45,457
Madhya Pradesh,6.0,393,1,Barwani,बड़वानी,28,441
Madhya Pradesh,7.0,394,1,Betul,बैतूल,35,447
Madhya Pradesh,8.0,395,1,Bhind,भिण्ड,03,420
Madhya Pradesh,9.0,396,1,Bhopal,भोपाल,32,444
Madhya Pradesh,10.0,397,1,Burhanpur,बुरहानपुर,29,467
Madhya Pradesh,11.0,398,1,Chhatarpur,छ्तरपुर,09,425
Madhya Pradesh,12.0,399,2,Chhindwara,छिन्दवाड़ा,43,455
Madhya Pradesh,13.0,400,1,Damoh,दमोह,12,428
Madhya Pradesh,14.0,401,2,Datia,दतिया,05,422
Madhya Pradesh,15.0,402,1,Dewas,देवास,23,437
Madhya Pradesh,16.0,403,1,Dhar,धार,25,438
Madhya Pradesh,17.0,404,1,Dindori,डिंडोरी,41,453
Madhya Pradesh,18.0,406,1,Guna,गुना,07,458
Madhya Pradesh,19.0,407,1,Gwalior,ग्वालियर,04,421
Madhya Pradesh,20.0,408,1,Harda,हरदा,36,448
Madhya Pradesh,21.0,410,1,Indore,इन्दौर,26,439
